,id,label,modularity_class
0,0,bird,NN
1,1,sink,NN
2,2,water,NN
3,3,faucet,NN
4,4,drinking,NN
5,5,facet,NN
6,6,bath,NN
7,7,shower,NN
8,8,parakeet,NN
9,9,kitchen,NN
10,10,walks,NNS
11,11,tap,NN
12,12,parrot,NN
13,13,wash,NN
14,14,basin,NN
15,15,cockatiel,NN
16,16,birt,NN
17,17,plane,NN
18,18,sky,NN
19,19,jet,NN
20,20,passenger,NN
21,21,flies,NNS
22,22,air,NN
23,23,aeroplane,NN
24,24,airplane,NN
25,25,sideways,NNS
26,26,flight,NN
27,27,background,NN
28,28,js,NN
29,29,airoplane,NN
30,30,clip,NN
31,31,airline,NN
32,32,turn,NN
33,33,avion,NN
34,34,plain,NN
35,35,men,NNS
36,36,tires,NNS
37,37,street,NN
38,38,spectators,NNS
39,39,Men,NNS
40,40,race,NN
41,41,tyre,NN
42,42,ground,NN
43,43,tire,NN
44,44,road,NN
45,45,people,NNS
46,46,tractor,NN
47,47,flip,NN
48,48,pavement,NN
49,49,man,NN
50,50,weight,NN
51,51,game,NN
52,52,tyres,NNS
53,53,person,NN
54,54,Tyre,NN
55,55,truck,NN
56,56,persons,NNS
57,57,tyers,NNS
58,58,something,NN
59,59,holder,NN
60,60,guitar,NN
61,61,house,NN
62,62,patio,NN
63,63,restaurant,NN
64,64,outdoors,NNS
65,65,store,NN
66,66,music,NN
67,67,stool,NN
68,68,instrument,NN
69,69,righ,NN
70,70,gutar,NN
71,71,party,NN
72,72,home,NN
73,73,guy,NN
74,74,band,NN
75,75,stage,NN
76,76,drink,NN
77,77,violin,NNS
78,78,woman,NN
79,79,oion,NN
80,80,girl,NN
81,81,onion,NN
82,82,pieces,NNS
83,83,cuts,NNS
84,84,dices,NNS
85,85,slice,NN
86,86,onions,NNS
87,87,vegetables,NNS
88,88,cook,NN
89,89,tomato,NN
90,90,salsa,NN
91,91,lady,NN
92,92,dress,NN
93,93,chopping,NN
94,94,tomatoes,NNS
95,95,knife,NN
96,96,face,NN
97,97,makeup,NN
98,98,cosmetics,NNS
99,99,concealer,NN
100,100,portion,NN
101,101,cheek,NN
102,102,fingers,NNS
103,103,look,NN
