,id,label,modularity_class
0,0,bird,NN
4,4,water,NN
10,10,drinking,NN
18,18,shower,NN
26,26,tap,NN
27,27,parrot,NN
28,28,wash,NN
29,29,basin,NN
30,30,cockatiel,NN
31,31,birt,NN
33,33,plane,NN
35,35,sky,NN
36,36,jet,NN
37,37,passenger,NN
39,39,air,NN
40,40,aeroplane,NN
41,41,airplane,NN
46,46,flight,NN
47,47,background,NN
50,50,airoplane,NN
51,51,clip,NN
53,53,airline,NN
55,55,turn,NN
56,56,avion,NN
57,57,plain,NN
63,63,street,NN
69,69,race,NN
70,70,tyre,NN
73,73,ground,NN
75,75,tire,NN
76,76,road,NN
80,80,tractor,NN
81,81,flip,NN
82,82,pavement,NN
84,84,man,NN
86,86,weight,NN
87,87,game,NN
90,90,person,NN
92,92,Tyre,NN
93,93,truck,NN
98,98,something,NN
99,99,holder,NN
101,101,guitar,NN
102,102,house,NN
103,103,patio,NN
105,105,restaurant,NN
112,112,store,NN
113,113,music,NN
114,114,stool,NN
115,115,instrument,NN
117,117,righ,NN
118,118,gutar,NN
119,119,party,NN
120,120,home,NN
121,121,guy,NN
122,122,band,NN
123,123,stage,NN
124,124,drink,NN
127,127,woman,NN
129,129,oion,NN
130,130,girl,NN
132,132,onion,NN
138,138,slice,NN
144,144,cook,NN
145,145,tomato,NN
147,147,salsa,NN
148,148,lady,NN
149,149,dress,NN
153,153,knife,NN
155,155,face,NN
156,156,makeup,NN
162,162,concealer,NN
163,163,portion,NN
164,164,cheek,NN
169,169,look,NN
171,171,lade,NN
173,173,foundation,NN
175,175,make-up,NN
176,176,jaw,NN
177,177,line,NN
183,183,healthcare,NN
185,185,illustration,NN
186,186,kim,NN
187,187,mokey,NN
190,190,beauty,NN
192,192,sort,NN
193,193,advice,NN
198,198,makeover,NN
199,199,speech,NN
200,200,video,NN
202,202,star,NN
203,203,time,NN
204,204,crowd,NN
205,205,group,NN
206,206,front,NN
208,208,rock,NN
209,209,gathering,NN
213,213,audience,NN
217,217,concert,NN
218,218,view,NN
219,219,onstage,NN
221,221,frint,NN
222,222,movie,NN
223,223,rockon,NN
226,226,perfomance,NN
229,229,song,NN
232,232,ban,NN
235,235,horse,NN
