,id,label,modularity_class
0,0,bird,NN
1,1,sink,NN
2,2,keeps,VBZ
3,3,getting,VBG
4,4,water,NN
5,5,faucet,NN
6,6,is,VBZ
7,7,bathing,VBG
8,8,splashing,VBG
9,9,standing,VBG
10,10,drinking,NN
11,11,pouring,VBG
12,12,facet,NN
13,13,running,VBG
14,14,stands,VBZ
15,15,playing,VBG
16,16,taking,VBG
17,17,bath,NN
18,18,shower,NN
19,19,showering,VBG
20,20,parakeet,NN
21,21,gets,VBZ
22,22,washed,VBN
23,23,having,VBG
24,24,kitchen,NN
25,25,walks,NNS
26,26,tap,NN
27,27,parrot,NN
28,28,wash,NN
29,29,basin,NN
30,30,cockatiel,NN
31,31,birt,NN
32,32,took,VBD
33,33,plane,NN
34,34,flying,VBG
35,35,sky,NN
36,36,jet,NN
37,37,passenger,NN
38,38,flies,NNS
39,39,air,NN
40,40,aeroplane,NN
41,41,airplane,NN
42,42,flew,VBD
43,43,soaring,VBG
44,44,banked,VBD
45,45,sideways,NNS
46,46,flight,NN
47,47,background,NN
48,48,js,NN
49,49,moving,VBG
50,50,airoplane,NN
51,51,clip,NN
52,52,showing,VBG
53,53,airline,NN
54,54,takes,VBZ
55,55,turn,NN
56,56,avion,NN
57,57,plain,NN
58,58,fly,VBN
59,59,men,NNS
60,60,are,VBP
61,61,rolling,VBG
62,62,tires,NNS
63,63,street,NN
64,64,spectators,NNS
65,65,watch,VBP
66,66,pushing,VBG
67,67,Men,NNS
68,68,flipping,VBG
69,69,race,NN
70,70,tyre,NN
71,71,tumbling,VBG
72,72,push,VBP
73,73,ground,NN
74,74,held,VBN
75,75,tire,NN
76,76,road,NN
77,77,lined,VBN
78,78,people,NNS
79,79,flipped,VBD
80,80,tractor,NN
81,81,flip,NN
82,82,pavement,NN
83,83,compete,VBP
84,84,man,NN
85,85,lifting,VBG
86,86,weight,NN
87,87,game,NN
88,88,turning,VBG
89,89,tyres,NNS
90,90,person,NN
91,91,pulling,VBG
92,92,Tyre,NN
93,93,truck,NN
94,94,persons,NNS
95,95,lift,VBZ
96,96,tyers,NNS
97,97,doing,VBG
98,98,something,NN
99,99,holder,NN
100,100,prooving,VBG
