,Source,Target,Weight
0,singing,appear,1
1,hammering,hammer,1
2,shoe,are,1
3,moves,child,1
4,beans,dropped,1
5,ice,disturbes,1
6,beheaded,open,1
7,feeling,relax,1
8,wipe,hands,1
9,i,running,1
10,dried,mushrooms,1
11,plate,brushes,1
12,have,made,2
13,wagging,step,2
14,»,rocking,2
15,made,boy,5
16,think,are,1
17,cut,looks,1
18,puts,cubes,3
19,falling,smile,1
20,sail,face,1
21,standing,child,6
22,dog,catches,10
23,open,high,1
24,brush,clean,2
25,speech,reciting,1
26,»,pancake,2
27,poodle,high,2
28,climbs,steps,1
29,pretending,attack,1
30,child,face,6
31,jumping,swinging,1
32,enjoys,kangaroo,1
33,had,fish,4
34,sliced,put,2
35,hung,are,1
36,stab,grabs,1
37,training,rides,1
38,jump,messes,1
39,seeing,greeting,1
40,tree,sitting,6
41,help,firing,1
42,holes,using,1
43,meat,pasta,1
44,featuring,thinking,1
45,ball,running,35
46,forgot,load,1
47,washing,head,5
48,recording,standing,1
49,raced,prey,4
50,isceting,is,1
51,stirs,removes,1
52,cute,kitten,10
53,shrimp,adding,1
54,had,crashed,1
55,girl,eating,56
56,jumping,were,2
57,head,lettuce,1
58,changing,is,12
59,smiling,resembles,1
60,sitting,flipping,1
61,covering,taken,1
62,is,pissing,6
63,doused,getting,1
64,was,moving,3
65,running,animation,1
66,fight,try,1
67,train,getting,9
68,hits,face,2
69,rode,waves,1
70,runs,side,2
71,tries,roof,1
72,being,interviewed,10
73,putting,horse,1
74,landing,flips,2
75,boys,fenced,2
76,crashing,lands,1
77,adds,beans,2
78,cuts,separate,1
79,potato,demonstrates,2
80,climb,dirt,1
81,holding,kitten,13
82,appears,seeds,1
83,bothing,shows,1
84,row,background,1
85,passed,pet,1
86,pouring,type,1
87,falls,ice,3
88,places,covers,2
89,pasta,preparing,2
90,poured,drink,4
91,exercising,standing,2
92,falling,moving,1
93,tree,tree,8
94,chewed,being,1
95,baby,got,1
96,heat,leave,1
97,types,like,1
98,body,appears,2
99,skateboarding,gets,1
100,frying,serving,1
101,pillow,girl,1
102,jumps,followed,1
103,remember,rented,1
104,slices,cutttingt,1
105,cooked,stirring,3
106,swimming,drops,2
107,drinks,putting,1
108,peoples,talking,2
109,stampeding,outrun,1
110,is,spending,1
111,wearing,paws,2
112,skateboarded,dog,1
113,hang,rope,1
114,carrot,piece,12
115,'ve,singing,1
116,like,sprinkling,1
117,bottom,meat,1
118,intrigued,was,1
119,raw,washed,1
120,demonstrates,pizza,1
121,pours,mixes,4
122,dance,set,1
123,head,slipping,1
124,glow,describing,1
125,pet,animal,13
126,are,training,3
127,replacing,is,2
128,preparing,sandwich,2
129,appears,sea,1
130,chicken,stove,1
131,doing,crashes,1
132,dog,master,12
133,thrown,fall,1
134,ground,forced,1
135,flashes,playing,1
136,friend,sign,1
137,plate,making,2
138,cutting,roll,7
139,feel,boy,1
140,doing,tricks,107
141,eating,high,4
142,pushed,set,1
143,»,hunt,1
144,create,video,1
145,skate,skates,1
146,slices,sushi,1
147,penguins,is,3
148,cut,sharpening,3
149,makes,cake,1
150,grating,make,1
151,carrying,heroine,1
152,raw,shows,2
153,running,places,1
154,dumps,pudding,1
155,rain,crying,1
156,seeing,ball,1
157,like,fish,1
158,face,fall,1
159,stick,stuffed,1
160,are,bags,12
161,stacking,pile,1
162,chopped,prepare,1
163,held,ball,2
164,saddle,showing,1
165,wipped,is,1
166,made,shot,5
167,cucumber,drops,2
168,running,ans,1
169,staring,wiggling,1
170,talking,roll,1
171,knife,twisting,1
172,kitten,fighting,4
173,sumo,standing,1
174,picks,carries,3
