,id,label,modularity_class
0,keeps,keeps,VBZ
1,getting,getting,VBG
2,is,is,VBZ
3,bathing,bathing,VBG
4,splashing,splashing,VBG
5,standing,standing,VBG
6,pouring,pouring,VBG
7,running,running,VBG
8,stands,stands,VBZ
9,playing,playing,VBG
10,taking,taking,VBG
11,showering,showering,VBG
12,gets,gets,VBZ
13,washed,washed,VBN
14,having,having,VBG
15,drinking,drinking,VBG
16,took,took,VBD
17,flying,flying,VBG
18,flew,flew,VBD
19,soaring,soaring,VBG
20,banked,banked,VBD
21,moving,moving,VBG
22,showing,showing,VBG
23,takes,takes,VBZ
24,fly,fly,VBN
25,are,are,VBP
26,rolling,rolling,VBG
27,sideways,sideways,VBP
28,watch,watch,VBP
29,pushing,pushing,VBG
30,flipping,flipping,VBG
31,tumbling,tumbling,VBG
32,push,push,VBP
33,held,held,VBN
34,lined,lined,VBN
35,flipped,flipped,VBD
36,compete,compete,VBP
37,lifting,lifting,VBG
38,turning,turning,VBG
39,pulling,pulling,VBG
40,lift,lift,VBZ
41,doing,doing,VBG
42,prooving,prooving,VBG
43,seated,seated,VBN
44,sitting,sitting,VBG
45,plays,plays,VBZ
46,performing,performing,VBG
47,plying,plying,VBG
48,played,played,VBD
49,enjoying,enjoying,VBG
50,strummed,strummed,VBD
51,cuts,cuts,VBZ
52,cutting,cutting,VBG
53,dicing,dicing,VBG
54,chops,chops,VBZ
55,chopping,chopping,VBG
56,slicing,slicing,VBG
57,slices,slices,VBZ
58,chopped,chopped,VBN
59,make,make,VB
60,sliced,sliced,VBD
61,teaches,teaches,VBZ
62,cook,cook,VB
63,putting,putting,VBG
64,applying,applying,VBG
65,explains,explains,VBZ
66,apply,apply,VB
67,applies,applies,VBZ
68,blends,blends,VBZ
69,using,using,VBG
70,get,get,VB
71,rubbing,rubbing,VBG
72,applied,applied,VBD
73,put,put,VBN
74,demonstrates,demonstrates,VBZ
75,telling,telling,VBG
76,do,do,VB
77,makeup,makeup,VB
78,instructing,instructing,VBG
79,giving,giving,VBG
80,tips,tips,VBZ
81,making,making,VBG
82,placing,placing,VBG
83,shows,shows,VBZ
84,create,create,VB
85,show,show,VB
86,look,look,VB
87,performed,performed,VBD
88,was,was,VBD
89,sing,sing,VBG
90,dancing,dancing,VBG
91,playng,playng,VBN
92,givinig,givinig,VBD
93,singing,singing,VBG
94,surrounded,surrounded,VBN
95,gallops,gallops,VBZ
96,riding,riding,VBG
97,keeping,keeping,VBG
98,galloping,galloping,VBG
99,trotted,trotted,VBN
100,rading,rading,VBG
101,walking,walking,VBG
102,driving,driving,VBG
103,driven,driven,VBN
104,jogging,jogging,VBG
105,rides,rides,VBZ
106,raiding,raiding,VBG
107,shooting,shooting,VBG
108,fired,fired,VBD
109,firing,firing,VBG
110,picks,picks,VBZ
111,shoots,shoots,VB
112,knocks,knocks,VB
113,picked,picked,VBD
114,practicing,practicing,VBG
115,shoot,shoot,VB
116,aiming,aiming,VBG
117,aims,aims,VBZ
118,demonstrating,demonstrating,VBG
119,play,play,VB
120,practising,practising,VBG
121,talking,talking,VBG
122,speaking,speaking,VBG
123,talks,talks,VBZ
124,speaks,speaks,VBZ
125,talked,talked,VBD
126,speak,speak,VB
127,looking,looking,VBG
128,chatting,chatting,VBG
129,peeling,peeling,VBG
130,peeled,peeled,VBN
131,being,being,VBG
132,peels,peels,VBZ
133,prepare,prepare,VB
134,removing,removing,VBG
135,slice,slice,VB
136,prepares,prepares,VBZ
137,pealed,pealed,VBN
138,trying,trying,VBG
139,remove,remove,VB
140,peel,peel,VB
141,cut,cut,VB
142,Making,Making,VBG
143,spraying,spraying,VBG
144,fires,fires,VBZ
145,holding,holding,VBG
146,shot,shot,VBD
147,jumping,jumping,VBG
148,diving,diving,VBG
149,swimming,swimming,VBG
150,jump,jump,VBP
151,dived,dived,VBD
152,jumped,jumped,VBD
153,dive,dive,VBP
154,lake,lake,VB
155,were,were,VBD
156,shuffled,shuffled,VBN
157,disappears,disappears,VBZ
158,displaying,displaying,VBG
159,palms,palms,VBZ
160,manipulates,manipulates,VBZ
161,handles,handles,VBZ
162,did,did,VBD
163,faking,faking,VBG
164,revealed,revealed,VBD
165,has,has,VBZ
166,does,does,VBZ
167,card,card,VB
168,shuffle,shuffle,VBZ
169,shoufling,shoufling,VBG
170,Playing,Playing,VBG
171,PLAYING,PLAYING,VBG
172,throwing,throwing,VBG
173,toss,toss,VBP
174,pretending,pretending,VBG
175,fool,fool,VB
176,warming,warming,VBG
177,tossing,tossing,VBG
178,tossed,tossed,VBD
179,dressed,dressed,VBN
180,passing,passing,VBG
181,swinging,swinging,VBG
182,throw,throw,VBP
183,interrupting,interrupting,VBG
184,sliding,sliding,VBG
185,sleeping,sleeping,VBG
186,wipes,wipes,VBZ
187,cleaning,cleaning,VBG
188,shifting,shifting,VBG
189,lies,lies,VBZ
190,pushed,pushed,VBN
191,dragging,dragging,VBG
192,pushes,pushes,VBZ
193,slides,slides,VBZ
194,dusts,dusts,VBZ
195,lying,lying,VBG
196,used,used,VBD
197,mop,mop,VB
198,stressing,stressing,VBG
199,laying,laying,VBG
200,arranging,arranging,VBG
201,arranges,arranges,VBZ
202,adding,adding,VBG
203,squash,squash,VB
204,decorating,decorating,VBG
205,preparing,preparing,VBG
206,places,places,VBZ
207,placed,placed,VBN
208,added,added,VBN
209,made,made,VBD
210,garnishing,garnishing,VBG
211,garnish,garnish,VB
212,puts,puts,VBZ
213,plates,plates,VBZ
214,adds,adds,VBZ
215,displayed,displayed,VBN
216,seasons,seasons,VBZ
217,seasoning,seasoning,VBG
218,grinding,grinding,VBG
219,spreading,spreading,VBG
220,sprinkling,sprinkling,VBG
221,seasoned,seasoned,VBD
222,cooking,cooking,VBG
223,Cooking,Cooking,VBG
224,tying,tying,VBG
225,ties,ties,VBZ
226,packing,packing,VBG
227,wrapping,wrapping,VBG
228,bundle,bundle,VB
229,binding,binding,VBG
230,working,working,VBG
231,wraps,wraps,VBZ
232,stacking,stacking,VBG
233,struggling,struggling,VBG
234,wrap,wrap,VB
235,banding,banding,VBG
236,attempting,attempting,VBG
237,fit,fit,VB
238,binds,binds,VBZ
239,bundling,bundling,VBG
240,makes,makes,VBZ
241,broccoli,broccoli,VBP
242,chasing,chasing,VBG
243,chases,chases,VBZ
244,chased,chased,VBD
245,goes,goes,VBZ
246,crazy,crazy,VB
247,catch,catch,VB
248,kneading,kneading,VBG
249,mashing,mashing,VBG
250,kneads,kneads,VBZ
251,kneeding,kneeding,VBG
252,rolled,rolled,VBD
253,mixing,mixing,VBG
254,coking,coking,VBG
255,rooling,rooling,VBG
256,icing,icing,VBG
257,pressing,pressing,VBG
258,eating,eating,VBG
259,eats,eats,VBZ
260,stuffing,stuffing,VBG
261,storing,storing,VBG
262,looks,looks,VBZ
263,find,find,VBZ
264,kept,kept,VBD
265,stuff,stuff,VB
266,blowing,blowing,VBG
267,feeding,feeding,VBG
268,pandas,pandas,VB
269,feeds,feeds,VBZ
270,panda,panda,VB
271,baby,baby,VB
272,gives,gives,VBZ
273,fed,fed,VBD
274,feed,feed,VBD
275,drink,drink,VBP
276,sat,sat,VBD
277,moved,moved,VBD
278,watching,watching,VBG
279,be,be,VB
280,scating,scating,VBG
281,rode,rode,VBD
282,traveled,traveled,VBD
283,enjoys,enjoys,VBZ
284,drinks,drinks,VBZ
285,drank,drank,VBZ
286,have,have,VBP
287,heard,heard,VBN
288,tasted,tasted,VBN
289,carves,carves,VBZ
290,see,see,VB
291,illustrating,illustrating,VBG
292,IS,IS,VBZ
293,peeing,peeing,VBG
294,shown,shown,VBN
295,urinating,urinating,VBG
296,going,going,VBG
297,pissing,pissing,VBG
298,pees,pees,VBZ
299,urinates,urinates,VBZ
300,marks,marks,VBZ
301,boat,boat,VBN
302,relieves,relieves,VBZ
303,trained,trained,VBN
304,urinate,urinate,VB
305,completed,completed,VBN
306,threw,threw,VBD
307,studying,studying,VBG
308,saying,saying,VBG
309,hold,hold,VB
310,catching,catching,VBG
311,dangling,dangling,VBG
312,tring,tring,VBG
313,grab,grab,VB
314,batting,batting,VBG
315,try,try,VB
316,dangled,dangled,VBN
317,dances,dances,VBZ
318,spinning,spinning,VBG
319,carries,carries,VBZ
320,danced,danced,VBD
321,danceing,danceing,VBG
322,performs,performs,VBZ
323,circling,circling,VBG
324,cycling,cycling,VBG
325,bikes,bikes,VBZ
326,RIDING,RIDING,VBG
327,perfoming,perfoming,VBG
328,featuring,featuring,VBG
329,live,live,VBP
330,ARE,ARE,VBP
331,SINGING,SINGING,VBG
332,Singing,Singing,VBG
333,licking,licking,VBG
334,'s,'s,VBZ
335,grooming,grooming,VBG
336,nibbling,nibbling,VBG
337,rubs,rubs,VBZ
338,cleaned,cleaned,VBD
339,grooms,grooms,VBZ
340,awaiting,awaiting,VBG
341,open,open,VB
342,inching,inching,VBG
343,itching,itching,VBG
344,covered,covered,VBN
345,slipping,slipping,VBG
346,relaxing,relaxing,VBG
347,resting,resting,VBG
348,lounges,lounges,VBZ
349,came,came,VBD
350,lounging,lounging,VBG
351,Relaxing,Relaxing,VBG
352,luying,luying,VBG
353,walk,walk,VBP
354,follow,follow,VBP
355,walked,walked,VBD
356,walks,walks,VBZ
357,training,training,VBG
358,roaming,roaming,VBG
359,GOING,GOING,VBG
360,Walking,Walking,VBG
361,leads,leads,VBZ
362,run,run,VB
363,ran,ran,VBD
364,poured,poured,VBD
365,poring,poring,VBG
366,uses,uses,VBZ
367,pour,pour,VB
368,skateboarding,skateboarding,VBG
369,skating,skating,VBG
