,id,label,modularity_class
0,bird,bird,NN
1,sink,sink,NN
2,water,water,NN
3,faucet,faucet,NN
4,drinking,drinking,NN
5,facet,facet,NN
6,bath,bath,NN
7,shower,shower,NN
8,parakeet,parakeet,NN
9,kitchen,kitchen,NN
10,walks,walks,NNS
11,tap,tap,NN
12,parrot,parrot,NN
13,wash,wash,NN
14,basin,basin,NN
15,cockatiel,cockatiel,NN
16,birt,birt,NN
17,plane,plane,NN
18,sky,sky,NN
19,jet,jet,NN
20,passenger,passenger,NN
21,flies,flies,NNS
22,air,air,NN
23,aeroplane,aeroplane,NN
24,airplane,airplane,NN
25,sideways,sideways,NNS
26,flight,flight,NN
27,background,background,NN
28,js,js,NN
29,airoplane,airoplane,NN
30,clip,clip,NN
31,airline,airline,NN
32,turn,turn,NN
33,avion,avion,NN
34,plain,plain,NN
35,men,men,NNS
36,tires,tires,NNS
37,street,street,NN
38,spectators,spectators,NNS
39,Men,Men,NNS
40,race,race,NN
41,tyre,tyre,NN
42,ground,ground,NN
43,tire,tire,NN
44,road,road,NN
45,people,people,NNS
46,tractor,tractor,NN
47,flip,flip,NN
48,pavement,pavement,NN
49,man,man,NN
50,weight,weight,NN
51,game,game,NN
52,tyres,tyres,NNS
53,person,person,NN
54,Tyre,Tyre,NN
55,truck,truck,NN
56,persons,persons,NNS
57,tyers,tyers,NNS
58,something,something,NN
59,holder,holder,NN
60,guitar,guitar,NN
61,house,house,NN
62,patio,patio,NN
63,restaurant,restaurant,NN
64,outdoors,outdoors,NNS
65,store,store,NN
66,music,music,NN
67,stool,stool,NN
68,instrument,instrument,NN
69,righ,righ,NN
70,gutar,gutar,NN
71,party,party,NN
72,home,home,NN
73,guy,guy,NN
74,band,band,NN
75,stage,stage,NN
76,drink,drink,NN
77,violin,violin,NNS
78,woman,woman,NN
79,oion,oion,NN
80,girl,girl,NN
81,onion,onion,NN
82,pieces,pieces,NNS
83,cuts,cuts,NNS
84,dices,dices,NNS
85,slice,slice,NN
86,onions,onions,NNS
87,vegetables,vegetables,NNS
88,cook,cook,NN
89,tomato,tomato,NN
90,salsa,salsa,NN
91,lady,lady,NN
92,dress,dress,NN
93,chopping,chopping,NN
94,tomatoes,tomatoes,NNS
95,knife,knife,NN
96,face,face,NN
97,makeup,makeup,NN
98,cosmetics,cosmetics,NNS
99,concealer,concealer,NN
100,portion,portion,NN
101,cheek,cheek,NN
102,fingers,fingers,NNS
103,look,look,NN
104,lade,lade,NN
105,foundation,foundation,NN
106,applies,applies,NNS
107,make-up,make-up,NN
108,jaw,jaw,NN
109,line,line,NN
110,products,products,NNS
111,women,women,NNS
112,healthcare,healthcare,NN
113,illustration,illustration,NN
114,kim,kim,NN
115,mokey,mokey,NN
116,eyes,eyes,NNS
117,beauty,beauty,NN
118,tips,tips,NNS
119,sort,sort,NN
120,advice,advice,NN
121,makeover,makeover,NN
122,speech,speech,NN
123,video,video,NN
124,star,star,NN
125,time,time,NN
126,crowd,crowd,NN
127,group,group,NN
128,front,front,NN
129,performs,performs,NNS
130,rock,rock,NN
131,gathering,gathering,NN
132,People,People,NNS
133,audience,audience,NN
134,boys,boys,NNS
135,concert,concert,NN
136,view,view,NN
137,onstage,onstage,NN
138,frint,frint,NN
139,movie,movie,NN
140,rockon,rockon,NN
141,stars,stars,NNS
142,perfomance,perfomance,NN
143,peoples,peoples,NNS
144,song,song,NN
145,instruments,instruments,NNS
146,ban,ban,NN
147,dances,dances,NNS
148,plays,plays,NNS
149,horse,horse,NN
150,rode,rode,NN
151,barn,barn,NN
152,trot,trot,NN
153,perimeter,perimeter,NN
154,arena,arena,NN
155,area,area,NN
156,rider,rider,NN
