,id,label,modularity_class
0,0,keeps,VBZ
1,1,getting,VBG
2,2,is,VBZ
3,3,bathing,VBG
4,4,splashing,VBG
5,5,standing,VBG
6,6,pouring,VBG
7,7,running,VBG
8,8,stands,VBZ
9,9,playing,VBG
10,10,taking,VBG
11,11,showering,VBG
12,12,gets,VBZ
13,13,washed,VBN
14,14,having,VBG
15,15,drinking,VBG
16,16,took,VBD
17,17,flying,VBG
18,18,flew,VBD
19,19,soaring,VBG
20,20,banked,VBD
21,21,moving,VBG
22,22,showing,VBG
23,23,takes,VBZ
24,24,fly,VBN
25,25,are,VBP
26,26,rolling,VBG
27,27,sideways,VBP
28,28,watch,VBP
29,29,pushing,VBG
30,30,flipping,VBG
31,31,tumbling,VBG
32,32,push,VBP
33,33,held,VBN
34,34,lined,VBN
35,35,flipped,VBD
36,36,compete,VBP
37,37,lifting,VBG
38,38,turning,VBG
39,39,pulling,VBG
40,40,lift,VBZ
41,41,doing,VBG
42,42,prooving,VBG
43,43,seated,VBN
44,44,sitting,VBG
45,45,plays,VBZ
46,46,performing,VBG
47,47,plying,VBG
48,48,played,VBD
49,49,enjoying,VBG
50,50,strummed,VBD
51,51,cuts,VBZ
52,52,cutting,VBG
53,53,dicing,VBG
54,54,chops,VBZ
55,55,chopping,VBG
56,56,slicing,VBG
57,57,slices,VBZ
58,58,chopped,VBN
59,59,make,VB
60,60,sliced,VBD
61,61,teaches,VBZ
62,62,cook,VB
63,63,putting,VBG
64,64,applying,VBG
65,65,explains,VBZ
66,66,apply,VB
67,67,applies,VBZ
68,68,blends,VBZ
69,69,using,VBG
70,70,get,VB
71,71,rubbing,VBG
72,72,applied,VBD
73,73,put,VBN
74,74,demonstrates,VBZ
75,75,telling,VBG
76,76,do,VB
77,77,makeup,VB
78,78,instructing,VBG
79,79,giving,VBG
80,80,tips,VBZ
81,81,making,VBG
82,82,placing,VBG
83,83,shows,VBZ
84,84,create,VB
85,85,show,VB
86,86,look,VB
87,87,performed,VBD
88,88,was,VBD
89,89,sing,VBG
90,90,dancing,VBG
91,91,playng,VBN
92,92,givinig,VBD
93,93,singing,VBG
94,94,surrounded,VBN
95,95,gallops,VBZ
96,96,riding,VBG
97,97,keeping,VBG
98,98,galloping,VBG
99,99,trotted,VBN
100,100,rading,VBG
101,101,walking,VBG
102,102,driving,VBG
103,103,driven,VBN
104,104,jogging,VBG
105,105,rides,VBZ
106,106,raiding,VBG
107,107,shooting,VBG
108,108,fired,VBD
109,109,firing,VBG
110,110,picks,VBZ
111,111,shoots,VB
112,112,knocks,VB
113,113,picked,VBD
114,114,practicing,VBG
115,115,shoot,VB
116,116,aiming,VBG
117,117,aims,VBZ
118,118,demonstrating,VBG
119,119,play,VB
120,120,practising,VBG
121,121,talking,VBG
122,122,speaking,VBG
123,123,talks,VBZ
124,124,speaks,VBZ
125,125,talked,VBD
126,126,speak,VB
127,127,looking,VBG
128,128,chatting,VBG
129,129,peeling,VBG
130,130,peeled,VBN
131,131,being,VBG
132,132,peels,VBZ
133,133,prepare,VB
134,134,removing,VBG
135,135,slice,VB
136,136,prepares,VBZ
137,137,pealed,VBN
138,138,trying,VBG
139,139,remove,VB
140,140,peel,VB
141,141,cut,VB
142,142,Making,VBG
143,143,spraying,VBG
144,144,fires,VBZ
145,145,holding,VBG
146,146,shot,VBD
147,147,jumping,VBG
148,148,diving,VBG
149,149,swimming,VBG
150,150,jump,VBP
151,151,dived,VBD
152,152,jumped,VBD
153,153,dive,VBP
154,154,lake,VB
155,155,were,VBD
156,156,shuffled,VBN
157,157,disappears,VBZ
158,158,displaying,VBG
159,159,palms,VBZ
160,160,manipulates,VBZ
161,161,handles,VBZ
162,162,did,VBD
163,163,faking,VBG
164,164,revealed,VBD
165,165,has,VBZ
166,166,does,VBZ
167,167,card,VB
168,168,shuffle,VBZ
169,169,shoufling,VBG
170,170,Playing,VBG
171,171,PLAYING,VBG
172,172,throwing,VBG
173,173,toss,VBP
174,174,pretending,VBG
175,175,fool,VB
176,176,warming,VBG
177,177,tossing,VBG
178,178,tossed,VBD
179,179,dressed,VBN
180,180,passing,VBG
181,181,swinging,VBG
182,182,throw,VBP
183,183,interrupting,VBG
184,184,sliding,VBG
185,185,sleeping,VBG
186,186,wipes,VBZ
187,187,cleaning,VBG
188,188,shifting,VBG
189,189,lies,VBZ
190,190,pushed,VBN
191,191,dragging,VBG
192,192,pushes,VBZ
193,193,slides,VBZ
194,194,dusts,VBZ
195,195,lying,VBG
196,196,used,VBD
197,197,mop,VB
198,198,stressing,VBG
199,199,laying,VBG
200,200,arranging,VBG
201,201,arranges,VBZ
202,202,adding,VBG
203,203,squash,VB
204,204,decorating,VBG
205,205,preparing,VBG
206,206,places,VBZ
207,207,placed,VBN
208,208,added,VBN
209,209,made,VBD
210,210,garnishing,VBG
211,211,garnish,VB
212,212,puts,VBZ
213,213,plates,VBZ
214,214,adds,VBZ
215,215,displayed,VBN
216,216,seasons,VBZ
217,217,seasoning,VBG
218,218,grinding,VBG
219,219,spreading,VBG
220,220,sprinkling,VBG
221,221,seasoned,VBD
222,222,cooking,VBG
223,223,Cooking,VBG
224,224,tying,VBG
225,225,ties,VBZ
226,226,packing,VBG
227,227,wrapping,VBG
228,228,bundle,VB
229,229,binding,VBG
230,230,working,VBG
231,231,wraps,VBZ
232,232,stacking,VBG
233,233,struggling,VBG
234,234,wrap,VB
235,235,banding,VBG
236,236,attempting,VBG
237,237,fit,VB
238,238,binds,VBZ
239,239,bundling,VBG
240,240,makes,VBZ
241,241,broccoli,VBP
242,242,chasing,VBG
243,243,chases,VBZ
244,244,chased,VBD
245,245,goes,VBZ
246,246,crazy,VB
247,247,catch,VB
248,248,kneading,VBG
249,249,mashing,VBG
250,250,kneads,VBZ
251,251,kneeding,VBG
252,252,rolled,VBD
253,253,mixing,VBG
254,254,coking,VBG
255,255,rooling,VBG
256,256,icing,VBG
257,257,pressing,VBG
258,258,eating,VBG
259,259,eats,VBZ
260,260,stuffing,VBG
261,261,storing,VBG
262,262,looks,VBZ
263,263,find,VBZ
264,264,kept,VBD
265,265,stuff,VB
266,266,blowing,VBG
267,267,feeding,VBG
268,268,pandas,VB
269,269,feeds,VBZ
270,270,panda,VB
271,271,baby,VB
272,272,gives,VBZ
273,273,fed,VBD
274,274,feed,VBD
275,275,drink,VBP
276,276,sat,VBD
277,277,moved,VBD
278,278,watching,VBG
279,279,be,VB
280,280,scating,VBG
281,281,rode,VBD
282,282,traveled,VBD
283,283,enjoys,VBZ
284,284,drinks,VBZ
285,285,drank,VBZ
286,286,have,VBP
287,287,heard,VBN
288,288,tasted,VBN
289,289,carves,VBZ
290,290,see,VB
291,291,illustrating,VBG
292,292,IS,VBZ
293,293,peeing,VBG
294,294,shown,VBN
295,295,urinating,VBG
296,296,going,VBG
297,297,pissing,VBG
298,298,pees,VBZ
299,299,urinates,VBZ
300,300,marks,VBZ
301,301,boat,VBN
302,302,relieves,VBZ
303,303,trained,VBN
304,304,urinate,VB
305,305,completed,VBN
306,306,threw,VBD
307,307,studying,VBG
308,308,saying,VBG
309,309,hold,VB
310,310,catching,VBG
311,311,dangling,VBG
312,312,tring,VBG
313,313,grab,VB
314,314,batting,VBG
315,315,try,VB
316,316,dangled,VBN
317,317,dances,VBZ
318,318,spinning,VBG
319,319,carries,VBZ
320,320,danced,VBD
321,321,danceing,VBG
322,322,performs,VBZ
323,323,circling,VBG
324,324,cycling,VBG
325,325,bikes,VBZ
326,326,RIDING,VBG
327,327,perfoming,VBG
328,328,featuring,VBG
329,329,live,VBP
330,330,ARE,VBP
331,331,SINGING,VBG
332,332,Singing,VBG
333,333,licking,VBG
334,334,'s,VBZ
335,335,grooming,VBG
336,336,nibbling,VBG
337,337,rubs,VBZ
338,338,cleaned,VBD
339,339,grooms,VBZ
340,340,awaiting,VBG
341,341,open,VB
342,342,inching,VBG
343,343,itching,VBG
344,344,covered,VBN
345,345,slipping,VBG
346,346,relaxing,VBG
347,347,resting,VBG
348,348,lounges,VBZ
349,349,came,VBD
350,350,lounging,VBG
351,351,Relaxing,VBG
352,352,luying,VBG
353,353,walk,VBP
354,354,follow,VBP
355,355,walked,VBD
356,356,walks,VBZ
357,357,training,VBG
358,358,roaming,VBG
359,359,GOING,VBG
360,360,Walking,VBG
361,361,leads,VBZ
362,362,run,VB
363,363,ran,VBD
364,364,poured,VBD
365,365,poring,VBG
366,366,uses,VBZ
367,367,pour,VB
368,368,skateboarding,VBG
369,369,skating,VBG
370,370,go,VBN
371,371,scatting,VBG
372,372,stunting,VBG
373,373,turns,VBZ
374,374,glares,VBZ
375,375,surprised,VBN
376,376,gazing,VBG
377,377,according,VBG
378,378,staring,VBG
379,379,looked,VBD
380,380,startled,VBN
381,381,eyed,VBN
382,382,give,VB
383,383,seeing,VBG
384,384,scare,VB
385,385,stares,VBZ
386,386,faces,VBZ
387,387,shocked,VBN
388,388,glaring,VBG
389,389,blinking,VBG
390,390,crying,VBG
391,391,say,VBP
392,392,shared,VBD
393,393,rocking,VBG
394,394,Taking,VBG
395,395,rocked,VBN
396,396,nursed,VBD
397,397,exercising,VBG
398,398,operating,VBG
399,399,becomes,VBZ
400,400,ride,VB
401,401,excersizing,VBG
402,402,lifts,VBZ
403,403,lifted,VBD
404,404,Exercising,VBG
405,405,weightlifting,VBG
406,406,improve,VB
407,407,jumps,VBZ
408,408,biking,VBG
409,409,leaps,VBZ
410,410,writing,VBG
411,411,moves,VBZ
412,412,notice,VB
413,413,crept,VBD
414,414,writes,VBZ
415,415,knowing,VBG
416,416,inches,VBZ
417,417,writting,VBG
418,418,start,VBP
419,419,tortillas,VBP
420,420,grazing,VBG
421,421,stand,VBP
422,422,graze,VBP
423,423,grazed,VBN
424,424,grassing,VBG
425,425,gracing,VBG
426,426,Eating,VBG
427,427,kissing,VBG
428,428,kissed,VBD
429,429,kiss,VBP
430,430,sharing,VBG
431,431,sneaks,VBZ
432,432,snuck,VBD
433,433,runs,VBZ
434,434,kidding,VBG
435,435,fighting,VBG
436,436,shoves,VBZ
437,437,rising,VBG
438,438,admiring,VBG
439,439,falls,VBZ
440,440,leaping,VBG
441,441,climb,VB
442,442,hanging,VBG
443,443,tries,VBZ
444,444,climbing,VBG
445,445,climbs,VBZ
446,446,tried,VBD
447,447,astap,VBN
448,448,cross,VB
449,449,squatted,VBN
450,450,shotting,VBG
451,451,testing,VBG
452,452,hearing,VBG
453,453,Slicing,VBG
454,454,filled,VBN
455,455,pours,VBZ
456,456,sprinkles,VBZ
457,457,marinate,VB
458,458,Jumping,VBG
459,459,somersaulting,VBG
460,460,scraping,VBG
