,Unnamed: 0,Source,Target,Weight
227,227,cat,man,58
260,260,guitar,song,44
302,302,bowl,mixture,35
316,316,her,washing,46
342,342,is,actor,34
418,418,teaching,is,74
479,479,cat,sleeping,56
680,680,man,lying,50
760,760,wine,is,43
899,899,video,make,31
1004,1004,gorilla,is,46
1029,1029,carrot,woman,116
1122,1122,man,onions,69
1231,1231,plays,keyboard,43
1244,1244,running,road,83
1511,1511,plays,guitar,244
1522,1522,diving,off,36
1583,1583,tapping,is,43
1629,1629,baby,feeding,37
1764,1764,hat,man,33
1811,1811,ball,trying,32
1826,1826,touching,is,36
1866,1866,pours,woman,78
1963,1963,THE,PLAYING,35
2253,2253,cracking,egg,42
2316,2316,cat,inside,56
2435,2435,man,ball,202
2541,2541,peeling,apple,68
2595,2595,potatoes,slicing,76
2695,2695,butter,bread,87
2697,2697,man,pool,71
2710,2710,street,is,195
2728,2728,laying,down,33
2887,2887,dog,fish,49
2889,2889,yellow,is,41
2934,2934,tomato,woman,62
2942,2942,putting,her,52
2955,2955,raw,Someone,37
3033,3033,playing,drums,169
3124,3124,cooking,kichen,318
3129,3129,baby,is,1369
3136,3136,is,picture,71
3206,3206,man,kichen,272
3211,3211,pot,adding,41
3216,3216,walking,women,31
3228,3228,riding,dog,66
3246,3246,onstage,is,34
3348,3348,plays,woman,54
3363,3363,chair,man,64
3676,3676,being,is,680
3680,3680,dancing,man,506
3858,3858,applying,lipstick,31
3988,3988,is,bunny,41
3998,3998,is,batter,78
3999,3999,cheese,is,124
4096,4096,slicing,onion,255
4141,4141,hair,'s,31
4174,4174,is,dressed,33
4287,4287,fish,slicing,39
4383,4383,person,horse,120
4387,4387,playing,children,47
4413,4413,sliced,is,119
4439,4439,her,combing,38
4514,4514,onion,man,234
4716,4716,crawling,baby,50
4788,4788,man,container,105
4869,4869,building,is,45
4912,4912,holds,man,32
4942,4942,woman,ginger,39
4975,4975,newspaper,man,41
5163,5163,office,man,33
5280,5280,is,men,221
5427,5427,boy,'s,39
5597,5597,THE,MAN,134
5710,5710,woman,bicycle,56
5722,5722,is,pistol,48
5739,5739,something,dog,43
5922,5922,backwards,is,43
5927,5927,Someone,water,87
6056,6056,guitars,playing,35
6179,6179,container,is,113
6279,6279,is,performing,276
6280,6280,water,container,33
6288,6288,bowl,rice,45
6290,6290,language,is,32
6321,6321,lion,are,34
6324,6324,is,group,77
6595,6595,driving,down,84
6681,6681,doing,cat,45
6711,6711,Someone,eggs,54
6804,6804,woman,kangaroo,50
6918,6918,woman,seated,37
6962,6962,tree,axe,32
7016,7016,cigarette,smoking,38
7024,7024,fence,is,54
7075,7075,is,bicycle,267
7175,7175,man,slab,48
7216,7216,filled,water,38
7220,7220,man,flute,313
7243,7243,pitcher,is,49
7288,7288,is,circles,59
7300,7300,targets,shooting,38
7420,7420,funny,cat,42
7434,7434,man,cricket,35
7458,7458,man,stunt,68
7478,7478,pours,person,45
7508,7508,is,turtle,106
7568,7568,magic,is,41
7810,7810,vegetable,woman,84
7925,7925,is,milk,151
7930,7930,woman,adding,112
7940,7940,pineapple,woman,61
7949,7949,is,laying,138
7970,7970,wrestling,are,94
8011,8011,one,person,47
8036,8036,plays,ball,31
8046,8046,cooked,man,36
8322,8322,peeling,woman,321
8411,8411,man,guitar,1609
8519,8519,glass,woman,52
8532,8532,cooked,woman,37
8657,8657,show,man,38
8752,8752,Someone,pieces,64
8762,8762,person,using,39
8783,8783,dog,eating,74
8818,8818,bicycle,girl,33
8959,8959,right,is,31
8994,8994,man,frying,37
9098,9098,wearing,is,108
9111,9111,man,dish,51
9237,9237,dancing,outside,47
9327,9327,is,key,31
9459,9459,woman,is,7262
9535,9535,plants,is,36
9553,9553,playing,child,81
9584,9584,rode,horse,39
9587,9587,rifle,man,65
9617,9617,man,cleaning,141
9647,9647,paper,person,173
9823,9823,is,slide,44
9858,9858,plays,sings,51
9865,9865,meat,putting,37
9869,9869,is,smiling,65
9903,9903,woman,paper,56
9941,9941,guitar,person,42
9961,9961,is,nose,51
9970,9970,digging,is,31
10019,10019,trick,card,56
10057,10057,Men,dancing,37
10154,10154,bag,man,74
10169,10169,stunt,is,70
10185,10185,chopping,onion,89
10198,10198,man,table,80
10274,10274,man,gym,31
10286,10286,man,skating,34
10321,10321,man,rode,60
10347,10347,picks,man,33
10492,10492,target,shooting,42
10642,10642,meat,cooking,60
10685,10685,woman,slices,148
10777,10777,chicken,woman,102
10870,10870,having,is,47
10875,10875,is,her,951
10934,10934,off,dog,40
11064,11064,together,woman,75
11157,11157,is,shown,59
11200,11200,is,seasoning,188
11312,11312,is,balls,49
11327,11327,carrot,person,34
11458,11458,otter,is,31
11505,11505,potatoes,is,225
11741,11741,is,ocean,70
11806,11806,man,soup,33
11988,11988,rides,man,152
12014,12014,cleaning,cat,34
12032,12032,chain,man,32
12120,12120,piano,plays,89
12133,12133,wall,man,108
12205,12205,is,spreading,112
12255,12255,knife,is,576
12260,12260,shrimp,lady,48
12282,12282,preparing,chef,40
12419,12419,man,bag,74
12459,12459,kangaroo,woman,50
12512,12512,bread,knife,41
12546,12546,stage,singing,89
12582,12582,licking,cat,142
12602,12602,man,beating,48
12624,12624,slicing,pineapple,34
12663,12663,goal,is,38
12724,12724,is,tub,60
12789,12789,cuts,knife,58
13054,13054,pepper,slicing,48
13144,13144,cucumbers,is,49
13245,13245,cycle,riding,58
13310,13310,singing,boy,66
13331,13331,chasing,dog,32
13380,13380,potatoes,woman,50
13409,13409,girl,water,74
13439,13439,slices,knife,57
13549,13549,is,make,167
13652,13652,playing,song,54
13674,13674,person,piano,51
13687,13687,her,girl,475
13728,13728,women,group,42
13846,13846,has,man,50
13847,13847,plays,boy,64
13878,13878,man,blowing,45
13956,13956,fish,woman,123
14111,14111,kicking,is,136
14162,14162,puts,pan,31
14181,14181,teams,are,37
14208,14208,cards,is,70
14265,14265,shadow,is,35
14290,14290,man,coking,42
14291,14291,Someone,chicken,46
14320,14320,slice,pizza,40
14352,14352,girl,making,61
14465,14465,man,horse,603
14470,14470,dog,ball,202
14477,14477,ingredients,man,51
14530,14530,cat,couch,33
14538,14538,man,song,89
14541,14541,down,lying,31
14634,14634,slices,man,225
14703,14703,laptop,is,56
14730,14730,boxing,is,41
14752,14752,across,is,164
14764,14764,road,driving,69
14816,14816,are,Children,87
14832,14832,man,while,327
14882,14882,baby,down,31
14912,14912,is,sidewalk,54
14920,14920,sign,language,42
15163,15163,floor,man,157
15209,15209,egg,Someone,32
15261,15261,door,is,86
15297,15297,cup,girl,51
15399,15399,are,racing,85
15403,15403,man,suit,54
15449,15449,is,vacuuming,33
15456,15456,running,woman,47
15594,15594,person,eating,35
15645,15645,is,jet,57
15670,15670,hair,her,299
15716,15716,diving,pool,32
15751,15751,scratching,is,82
15772,15772,soup,man,33
15826,15826,food,eating,248
15955,15955,played,girl,43
15961,15961,'s,someone,39
16013,16013,woman,clothes,34
16051,16051,are,shopping,33
16071,16071,chopped,man,34
16075,16075,folding,piece,36
16104,16104,jumping,off,39
16188,16188,beach,playing,62
16221,16221,elephant,eating,43
16359,16359,rising,sun,34
16384,16384,singing,is,851
16488,16488,dog,jumping,44
16520,16520,baseball,player,32
16568,16568,woman,running,47
16662,16662,stirring,rice,41
16667,16667,airplane,flying,39
16684,16684,are,dance,65
16712,16712,boy,down,69
16718,16718,baby,finger,51
16757,16757,watching,cat,85
16759,16759,doing,boy,85
16772,16772,doing,man,505
16839,16839,boiling,water,77
16982,16982,hugging,woman,37
17025,17025,drinking,woman,31
17081,17081,off,takes,47
17144,17144,man,cooking,479
17174,17174,preparing,man,142
17382,17382,bowling,is,37
17383,17383,man,peeling,176
17423,17423,jumps,cat,95
17431,17431,tail,dog,166
17485,17485,are,moving,109
17597,17597,kneading,is,63
17643,17643,is,bowl,735
17681,17681,adding,ingredients,33
17686,17686,is,ingredients,182
17863,17863,down,horse,40
17923,17923,woman,phone,106
17990,17990,giving,is,147
17998,17998,riding,cycle,58
18014,18014,woman,outside,38
18076,18076,playing,piano,608
18101,18101,chewing,is,83
18285,18285,makeup,her,51
18377,18377,hands,are,40
18426,18426,playing,people,71
18432,18432,tofu,is,62
18476,18476,boy,bicycle,53
18499,18499,wall,rock,53
18639,18639,is,child,278
18680,18680,is,screaming,34
18727,18727,someone,man,48
18739,18739,man,holding,232
18759,18759,milk,cat,58
18769,18769,speech,giving,40
18879,18879,cow,eating,72
18935,18935,end,man,38
19013,19013,holding,monkey,36
19077,19077,burning,is,38
19102,19102,man,talked,32
19514,19514,dance,are,65
19521,19521,dough,Someone,31
19534,19534,her,doing,40
19641,19641,hand,'s,100
19682,19682,bread,is,398
19690,19690,woods,walking,32
19722,19722,lawn,is,48
19835,19835,carrying,is,136
19993,19993,woman,pot,75
20022,20022,exercises,doing,41
20461,20461,is,poured,60
20462,20462,people,dancing,154
20612,20612,tying,man,31
20720,20720,like,is,74
20877,20877,guitar,woman,105
20898,20898,carrots,man,113
20962,20962,pouring,bowl,106
20966,20966,are,marching,38
20988,20988,box,pizza,46
21143,21143,playing,trumpet,104
21155,21155,is,lipstick,40
21222,21222,skateboard,man,56
21235,21235,places,woman,35
21264,21264,is,guns,54
21267,21267,is,papaya,32
21288,21288,table,cat,63
21331,21331,eating,person,35
21388,21388,women,cutting,51
21422,21422,sun,is,44
21435,21435,slices,person,84
21452,21452,watermelon,eating,43
21512,21512,stage,guitar,71
21627,21627,man,wood,135
21635,21635,cream,man,62
21655,21655,her,head,56
21659,21659,front,is,173
21662,21662,scooter,is,76
21664,21664,man,hitting,91
21706,21706,cat,meowing,35
21736,21736,cut,Someone,48
21806,21806,man,walking,420
21897,21897,man,weight,35
21941,21941,telephone,man,40
21965,21965,is,treadmill,48
22027,22027,man,drums,108
22039,22039,cucumber,slices,47
22042,22042,woman,driving,40
22054,22054,dog,bed,34
22150,22150,bubbles,man,32
22177,22177,man,getting,68
22185,22185,is,towards,58
22206,22206,off,cuts,39
22216,22216,meat,pieces,62
22236,22236,is,trying,404
22286,22286,down,motorcycle,45
22357,22357,is,boiled,49
22372,22372,stage,are,221
22441,22441,cow,is,68
22635,22635,car,men,65
22641,22641,mixing,person,100
22704,22704,sword,paper,37
22797,22797,lipstick,applying,31
22805,22805,walking,garden,33
23069,23069,cutting,Someone,202
23141,23141,pushing,is,199
23161,23161,frying,something,31
23168,23168,pot,puts,33
23300,23300,is,flying,174
23374,23374,pours,oil,45
23423,23423,vacuum,is,38
23431,23431,women,is,392
23487,23487,yard,dog,42
23500,23500,rain,is,115
23570,23570,is,mans,36
23617,23617,cheese,tortilla,34
23646,23646,woman,playing,280
23658,23658,outside,are,43
23864,23864,are,car,128
23989,23989,is,rifle,51
24036,24036,cooking,rice,36
24039,24039,is,motor,45
24040,24040,'s,playing,44
24113,24113,lady,onion,65
24139,24139,floor,cleaning,36
24144,24144,food,man,237
24203,24203,horse,riding,1196
24248,24248,is,petting,99
24278,24278,are,pushing,47
24359,24359,pieces,chicken,73
24364,24364,man,towel,38
24371,24371,eating,elephant,43
24399,24399,tiger,ball,41
24421,24421,walking,rope,36
24450,24450,man,exercising,65
24451,24451,knife,meat,39
24547,24547,makeup,is,168
24578,24578,woman,pepper,69
24637,24637,boy,brushing,32
24719,24719,sharpening,man,32
24725,24725,performs,man,34
24734,24734,person,bowl,146
24743,24743,man,jump,35
24866,24866,is,plate,132
24962,24962,performing,stage,137
24970,24970,across,cat,35
25003,25003,is,inside,113
25050,25050,ocean,is,70
25061,25061,doing,person,127
25088,25088,vegetable,cutting,76
25138,25138,potato,person,123
25409,25409,basketball,is,99
25450,25450,hiding,behind,37
25511,25511,man,finger,62
25607,25607,'s,finger,96
25626,25626,is,tomatoes,96
25724,25724,girl,playing,444
25773,25773,opening,is,164
25799,25799,trick,doing,41
25861,25861,paper,tearing,40
25863,25863,moving,is,288
25987,25987,hit,car,37
26044,26044,is,lion,136
26045,26045,slicing,tomato,115
26146,26146,man,telephone,40
26159,26159,cards,man,52
26163,26163,drums,gorilla,35
26171,26171,onion,cut,43
26209,26209,slices,bread,53
26260,26260,is,swinging,84
26328,26328,eating,table,39
26338,26338,slowly,is,56
26387,26387,down,track,35
26410,26410,shaving,man,40
26471,26471,cat,baby,79
26498,26498,man,sings,54
26546,26546,pork,chop,62
26595,26595,is,toddler,76
26632,26632,computer,is,89
26638,26638,police,officer,40
26700,26700,is,explaining,32
26757,26757,is,peeled,63
26835,26835,riding,lady,49
26890,26890,bread,Someone,39
26923,26923,making,are,66
27054,27054,man,woods,74
27059,27059,stunts,doing,71
27099,27099,watering,is,32
27225,27225,playing,kid,86
27327,27327,dancing,men,123
27443,27443,added,man,38
27452,27452,person,slicing,329
27578,27578,moving,car,41
27583,27583,carrots,cutting,46
27714,27714,man,men,84
27785,27785,are,across,35
27865,27865,person,showing,44
27879,27879,open,woman,31
28084,28084,off,meat,51
28206,28206,train,track,44
28217,28217,baby,dancing,87
28238,28238,top,man,101
28262,28262,is,noodles,101
28268,28268,slicing,meat,118
28276,28276,sky,flying,37
28403,28403,man,bed,84
28466,28466,girls,talking,53
28487,28487,cup,man,45
28493,28493,down,water,59
28518,28518,store,is,49
28558,28558,is,fish,389
28573,28573,added,lady,45
28649,28649,is,playing,5489
28661,28661,rowing,boat,36
28853,28853,sky,is,47
29026,29026,are,driving,45
29050,29050,woman,tomato,62
29249,29249,spoon,man,31
29254,29254,woman,feeding,53
29342,29342,woman,carrying,36
29361,29361,gun,is,337
29371,29371,making,anyone,34
29419,29419,rice,pouring,40
29438,29438,is,refrigerator,38
29480,29480,is,hanging,77
29490,29490,lying,floor,40
29571,29571,Someone,playing,102
29576,29576,front,dancing,55
29726,29726,head,man,156
29833,29833,phone,talking,316
29846,29846,slide,water,69
29862,29862,girl,guitar,160
29863,29863,knife,cutting,200
30015,30015,eye,makeup,54
30116,30116,sort,man,57
30227,30227,are,forest,35
30439,30439,woman,dances,41
30540,30540,applying,is,231
30601,30601,putting,is,730
30655,30655,lady,playing,49
30676,30676,are,race,76
30686,30686,knife,slicing,145
30900,30900,stirring,is,280
30912,30912,man,working,35
31005,31005,ball,tiger,41
31063,31063,woman,her,754
31193,31193,stunt,man,68
31201,31201,demonstrating,man,35
31237,31237,are,eating,280
31261,31261,cat,running,54
31293,31293,basketball,player,62
31443,31443,microphone,is,111
31467,31467,side,man,57
31638,31638,path,down,53
31684,31684,man,together,79
31721,31721,doing,bike,34
31797,31797,woman,places,35
31832,31832,head,bag,31
31904,31904,playing,Someone,102
32074,32074,fish,water,51
32083,32083,mirror,is,122
32126,32126,is,preparing,390
32269,32269,off,water,59
32346,32346,man,showing,181
32385,32385,chair,sitting,46
32433,32433,package,is,44
32477,32477,dog,tennis,33
32483,32483,is,pieces,434
32501,32501,placing,is,136
32560,32560,asleep,baby,40
32611,32611,banana,is,132
32713,32713,potato,ball,35
32726,32726,stick,mouth,34
32789,32789,fat,meat,44
32813,32813,ingredients,bowl,117
32844,32844,dicing,woman,72
32864,32864,store,man,32
32958,32958,flying,sky,37
33020,33020,driven,being,37
33033,33033,oil,woman,116
33074,33074,man,target,107
33086,33086,vegetables,cutting,65
33138,33138,THE,THE,178
33226,33226,are,bicycle,40
33278,33278,is,kind,38
33285,33285,is,camera,115
33326,33326,guy,guitar,57
33389,33389,targets,is,51
33605,33605,man,flour,46
33617,33617,is,pole,42
33643,33643,demonstrating,is,47
33661,33661,shotgun,is,35
33687,33687,kind,man,45
33744,33744,is,throwing,113
33957,33957,crying,is,105
34181,34181,flour,bowl,35
34362,34362,hose,man,53
34373,34373,trying,jump,31
34394,34394,Someone,something,55
34482,34482,using,Someone,37
34558,34558,is,meat,671
34564,34564,man,monkey,63
34607,34607,ball,cricket,32
34726,34726,person,one,47
34728,34728,kitten,is,308
34833,34833,woman,sauce,33
34953,34953,peeling,Someone,72
35171,35171,Someone,tomato,42
35179,35179,doing,ups,38
35195,35195,cat,dog,195
35217,35217,potatoes,man,106
35232,35232,being,woman,38
35339,35339,head,water,31
35350,35350,holding,are,34
